filename,duration_sec,rms_db,silence_ratio,clipping_ratio,zero_crossing_rate,quality_score,quality
Yali Good News 024 Picture 24 Born Again 31721_006.wav,8.948375,-21.51533894395053,0.08571428571428572,0.0,0.08220389229910714,100,GOOD
Yali Good News 024 Picture 24 Born Again 31721_005.wav,15.0,-22.810245984598936,0.3049040511727079,0.0,0.11081693929904052,100,GOOD
Yali Good News 024 Picture 24 Born Again 31721_004.wav,15.0,-21.925433498135494,0.2281449893390192,0.0,0.12686567164179105,100,GOOD
Yali Good News 024 Picture 24 Born Again 31721_003.wav,15.0,-21.13752669991403,0.19616204690831557,0.0,0.12130613672707889,100,GOOD
Yali Good News 024 Picture 24 Born Again 31721_002.wav,15.0,-21.397531827607672,0.27292110874200426,0.0,0.09612269289712154,100,GOOD
Yali Good News 024 Picture 24 Born Again 31721_001.wav,15.0,-21.954129259390175,0.22174840085287847,0.0,0.1328187466684435,100,GOOD
Yali Good News 023 Picture 23 God's Children 31721_005.wav,5.7453125,-21.90317384412344,0.005555555555555556,0.0,0.06369900173611111,100,GOOD
Yali Good News 023 Picture 23 God's Children 31721_004.wav,15.0,-21.953665710733326,0.19189765458422176,0.0,0.12028480643656717,100,GOOD
Yali Good News 023 Picture 23 God's Children 31721_003.wav,15.0,-22.435027401961545,0.3091684434968017,0.0,0.12178713019722814,100,GOOD
Yali Good News 023 Picture 23 God's Children 31721_002.wav,15.0,-22.713401834763136,0.31769722814498935,0.0,0.12052738539445629,100,GOOD
Yali Good News 023 Picture 23 God's Children 31721_001.wav,15.0,-21.5945237948244,0.23667377398720682,0.0,0.11215476745735607,100,GOOD
Yali Good News 022 Picture 22 The Two Roads 31721_007.wav,13.9139375,-22.325450191113475,0.10804597701149425,0.0,0.0995813128591954,100,GOOD
Yali Good News 022 Picture 22 The Two Roads 31721_006.wav,15.0,-22.466283627059042,0.26865671641791045,0.0,0.14323923074360342,100,GOOD
Yali Good News 022 Picture 22 The Two Roads 31721_005.wav,15.0,-22.86279136960725,0.31769722814498935,0.0,0.14168276918976547,100,GOOD
Yali Good News 022 Picture 22 The Two Roads 31721_004.wav,15.0,-23.16218046741424,0.32409381663113007,0.0,0.12180170575692964,100,GOOD
Yali Good News 028 Picture 28 The Christian Family 31721_004.wav,8.931875,-20.33135278116417,0.03571428571428571,0.0,0.08237479073660714,100,GOOD
Yali Good News 028 Picture 28 The Christian Family 31721_003.wav,15.0,-20.677771125986926,0.20042643923240938,0.0,0.09398008562100213,100,GOOD
Yali Good News 028 Picture 28 The Christian Family 31721_002.wav,15.0,-21.424649517901116,0.31130063965884863,0.0,0.08851320962153518,100,GOOD
Yali Good News 028 Picture 28 The Christian Family 31721_001.wav,15.0,-21.23907841615784,0.21748400852878466,0.0,0.09194887726545842,100,GOOD
Yali Good News 027 Picture 27 A New Person 31721_003.wav,15.0,-20.317511460652838,0.2046908315565032,0.0,0.08014163279584222,100,GOOD
Yali Good News 027 Picture 27 A New Person 31721_002.wav,15.0,-21.72584593691816,0.232409381663113,0.0,0.10744373833955224,100,GOOD
Yali Good News 027 Picture 27 A New Person 31721_001.wav,15.0,-21.179725247812197,0.22388059701492538,0.0,0.1105452092217484,100,GOOD
Yali Good News 026 Picture 26 Walking in the Light 31721_004.wav,14.6505625,-20.7939353625272,0.12663755458515283,0.0,0.09509970319323144,100,GOOD
Yali Good News 026 Picture 26 Walking in the Light 31721_003.wav,15.0,-21.82998002288474,0.24946695095948826,0.0,0.10597681236673774,100,GOOD
Yali Good News 026 Picture 26 Walking in the Light 31721_002.wav,15.0,-21.253319765489277,0.22174840085287847,0.0,0.11409435800906183,100,GOOD
Yali Good News 026 Picture 26 Walking in the Light 31721_001.wav,15.0,-20.9847320803148,0.2281449893390192,0.0,0.08960533548773987,100,GOOD
Yali Good News 025 Picture 25 The Holy Spirit Comes 31721_006.wav,5.5284375,-22.63381220393661,0.0,0.0,0.08630723898121387,100,GOOD
Yali Good News 025 Picture 25 The Holy Spirit Comes 31721_005.wav,15.0,-22.057200783976324,0.22174840085287847,0.0,0.11492100046641791,100,GOOD
Yali Good News 025 Picture 25 The Holy Spirit Comes 31721_004.wav,15.0,-21.728100753880284,0.2601279317697228,0.0,0.14178792144189764,100,GOOD
Yali Good News 025 Picture 25 The Holy Spirit Comes 31721_003.wav,15.0,-22.181361566618733,0.27078891257995735,0.0,0.1343616737739872,100,GOOD
Yali Good News 025 Picture 25 The Holy Spirit Comes 31721_002.wav,15.0,-22.711405854813155,0.2942430703624733,0.0,0.12771730077292112,100,GOOD
Yali Good News 031 Picture 31 Casting out Evil Spirits 31721_006.wav,15.0,-20.919205881326523,0.232409381663113,0.0,0.09173961387260128,100,GOOD
Yali Good News 031 Picture 31 Casting out Evil Spirits 31721_005.wav,15.0,-21.94792202929274,0.255863539445629,0.0,0.08621339452292111,100,GOOD
Yali Good News 031 Picture 31 Casting out Evil Spirits 31721_004.wav,15.0,-22.534075965675445,0.27505330490405117,0.0,0.08040815731609809,100,GOOD
Yali Good News 031 Picture 31 Casting out Evil Spirits 31721_003.wav,15.0,-21.204729479464483,0.2260127931769723,0.0,0.09076721581823027,100,GOOD
Yali Good News 031 Picture 31 Casting out Evil Spirits 31721_002.wav,15.0,-20.604761853401605,0.2537313432835821,0.0,0.08100679637526652,100,GOOD
Yali Good News 031 Picture 31 Casting out Evil Spirits 31721_001.wav,15.0,-19.609349201884875,0.11940298507462686,0.0,0.08349088819296376,100,GOOD
Yali Good News 030 Picture 30 Jesus is the Powerful One 31721_006.wav,13.187375,-21.232964007893496,0.0774818401937046,0.0,0.08297589096549637,100,GOOD
Yali Good News 030 Picture 30 Jesus is the Powerful One 31721_005.wav,15.0,-21.904394536594722,0.26439232409381663,0.0,0.09872026585820895,100,GOOD
Yali Good News 030 Picture 30 Jesus is the Powerful One 31721_004.wav,15.0,-22.048461323219264,0.3326226012793177,0.0,0.0835106693097015,100,GOOD
Yali Good News 030 Picture 30 Jesus is the Powerful One 31721_003.wav,15.0,-21.381889011491474,0.2771855010660981,0.0,0.09228411513859275,100,GOOD
Yali Good News 030 Picture 30 Jesus is the Powerful One 31721_002.wav,15.0,-21.03985807042621,0.21108742004264391,0.0,0.0974688499466951,100,GOOD
Yali Good News 030 Picture 30 Jesus is the Powerful One 31721_001.wav,15.0,-20.341946164747803,0.18550106609808104,0.0,0.10322411380597014,100,GOOD
Yali Good News 029 Picture 29 Love Your Enemies 31721_004.wav,6.4549375,-20.340600673464124,0.0049504950495049506,0.0,0.07601475479579207,100,GOOD
Yali Good News 029 Picture 29 Love Your Enemies 31721_003.wav,15.0,-20.911698689323828,0.15991471215351813,0.0,0.10080248867270789,100,GOOD
Yali Good News 029 Picture 29 Love Your Enemies 31721_002.wav,15.0,-21.883688568268514,0.26865671641791045,0.0,0.11500949493603412,100,GOOD
Yali Good News 029 Picture 29 Love Your Enemies 31721_001.wav,15.0,-20.127352783062896,0.11940298507462686,0.0,0.10444846082089553,100,GOOD
Yali Good News 033 Picture 33 If We Sin 31721_005.wav,15.0,-21.990914268118402,0.27292110874200426,0.0,0.10346565165245203,100,GOOD
Yali Good News 033 Picture 33 If We Sin 31721_004.wav,15.0,-22.582984512160746,0.34754797441364604,0.0,0.08902647754530917,100,GOOD
Yali Good News 033 Picture 33 If We Sin 31721_003.wav,15.0,-21.753940258096797,0.2878464818763326,0.0,0.09188224613539446,100,GOOD
