filename,duration_sec,sample_rate,channels
Yali Good News 033 Picture 33 If We Sin 31721_005.wav,15.0,16000,1
Yali Good News 033 Picture 33 If We Sin 31721_006.wav,15.0,16000,1
Yali Good News 033 Picture 33 If We Sin 31721_007.wav,7.957,16000,1
Yali Good News 034 Picture 34 Sickness 31721_001.wav,15.0,16000,1
Yali Good News 034 Picture 34 Sickness 31721_002.wav,15.0,16000,1
Yali Good News 034 Picture 34 Sickness 31721_003.wav,15.0,16000,1
Yali Good News 034 Picture 34 Sickness 31721_004.wav,15.0,16000,1
Yali Good News 034 Picture 34 Sickness 31721_005.wav,15.0,16000,1
Yali Good News 034 Picture 34 Sickness 31721_006.wav,15.0,16000,1
Yali Good News 034 Picture 34 Sickness 31721_007.wav,6.251,16000,1
Yali Good News 035 Picture 35 Death 31721_001.wav,15.0,16000,1
Yali Good News 035 Picture 35 Death 31721_002.wav,15.0,16000,1
Yali Good News 035 Picture 35 Death 31721_003.wav,15.0,16000,1
Yali Good News 036 Picture 36 The Body of Christ 31721_001.wav,15.0,16000,1
Yali Good News 036 Picture 36 The Body of Christ 31721_002.wav,15.0,16000,1
Yali Good News 036 Picture 36 The Body of Christ 31721_003.wav,15.0,16000,1
Yali Good News 036 Picture 36 The Body of Christ 31721_004.wav,15.0,16000,1
Yali Good News 036 Picture 36 The Body of Christ 31721_005.wav,15.0,16000,1
Yali Good News 036 Picture 36 The Body of Christ 31721_006.wav,15.0,16000,1
Yali Good News 036 Picture 36 The Body of Christ 31721_007.wav,14.214,16000,1
Yali Good News 037 Picture 37 Meeting for Worship 31721_001.wav,15.0,16000,1
Yali Good News 037 Picture 37 Meeting for Worship 31721_002.wav,15.0,16000,1
Yali Good News 037 Picture 37 Meeting for Worship 31721_003.wav,15.0,16000,1
Yali Good News 037 Picture 37 Meeting for Worship 31721_004.wav,15.0,16000,1
Yali Good News 037 Picture 37 Meeting for Worship 31721_005.wav,8.121,16000,1
Yali Good News 038 Picture 38 Jesus Will Return 31721_001.wav,15.0,16000,1
Yali Good News 038 Picture 38 Jesus Will Return 31721_002.wav,15.0,16000,1
